tytul_pl,rok,sekcja,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,kostiumy,scenografia,charakteryzacja,pierwsza_w_obsadzie,plec_pierwszej
9 świątyń w drodze do nieba,2026,Międzynarodowy Konkurs Nowe Horyzonty,?,?,M,?,,?,?,,,,Amara Ramnarong,
Barrio triste,2025,Międzynarodowy Konkurs Nowe Horyzonty,M,M,M,?,K,?,?,K,?,,Juan Pablo Baena,
Dryfy,2025,Międzynarodowy Konkurs Nowe Horyzonty,K,K,M,M,,?,?,?,?,?,Isabel Aimé González-Sola,
Everytime,2026,Międzynarodowy Konkurs Nowe Horyzonty,K,K,M,M,?,,?,K,?,,Birgit Minichmayr,K
Gradiva,2026,Międzynarodowy Konkurs Nowe Horyzonty,K,?,?,?,,,?,,?,?,Colas Quignard,
Miejsca obiecane,2026,Międzynarodowy Konkurs Nowe Horyzonty,M,KM,?,M,,,?,,,,Vollak Kong,
Pewnego razu w Harlemie,2026,Międzynarodowy Konkurs Nowe Horyzonty,?,?,?,?,K,?,?,,,,Arna Bontemps,M
Pokaz laureata Grand Prix Międzynarodowego Konkursu Nowe Horyzonty,,Międzynarodowy Konkurs Nowe Horyzonty,,,,,,,,,,,,
Pokaz laureata Nagrody Publiczności w Międzynarodowym Konkursie Nowe Horyzonty,,Międzynarodowy Konkurs Nowe Horyzonty,,,,,,,,,,,,
Spadający liść,2025,Międzynarodowy Konkurs Nowe Horyzonty,M,M,M,M,?,?,?,,,,Giorgi Bochorishvili,
The Meltdown,2026,Międzynarodowy Konkurs Nowe Horyzonty,K,K,M,M,K,?,KM,?,?,,Maya O'Rourke,
"Włosy, papier, woda...",2025,Międzynarodowy Konkurs Nowe Horyzonty,?,?,?,M,M,,?,,,,Thi Hau Cao,
Zawiany las,2026,Międzynarodowy Konkurs Nowe Horyzonty,K,K,?,?,,?,?,,,,Salomé Richard,K
Źródło życia,2026,Międzynarodowy Konkurs Nowe Horyzonty,M,M,M,M,M,?,?,,,,Anna Geislerová,K
Czarna kula,2026,Pokazy Galowe,M,M,K,M,M,,?,?,?,,Penélope Cruz,K
Człowiek epoki,2026,Pokazy Galowe,M,KM,M,M,,?,?,?,K,?,Swann Arlaud,M
Daleko od brzegu,2026,Pokazy Galowe,M,M,M,M,,M,?,?,,?,Juliette Binoche,K
EXOTIC,2026,Pokazy Galowe,?,?,?,?,?,?,?,?,?,?,Jaśmina Polak,
Fiord,2026,Pokazy Galowe,M,M,M,M,M,,KM,?,?,?,Renate Reinsve,
Gentle Monster,2026,Pokazy Galowe,K,K,K,K,,,KM,,,,Léa Seydoux,K
Gorzkie święta,2026,Pokazy Galowe,M,M,M,K,M,,M,?,M,,Bárbara Lennie,
Hot Spot,2026,Pokazy Galowe,K,M,M,K,?,?,?,?,,?,Noomi Rapace,K
Josephine,2026,Pokazy Galowe,K,K,K,KM,?,?,?,,?,,Channing Tatum,M
Karuzela,2026,Pokazy Galowe,K,K,M,?,M,,?,?,?,,Chris Pine,M
Ktoś we mnie,2026,Pokazy Galowe,M,?,M,M,?,,?,?,?,,Léa Seydoux,K
Natura miłości,2026,Pokazy Galowe,M,KM,M,M,M,,?,?,?,,Javier Bardem,M
Niespodziewane,2026,Pokazy Galowe,M,?,?,?,M,,?,?,?,?,Virginie Efira,K
Ocalenie,2026,Pokazy Galowe,M,M,M,M,M,,M,?,?,?,Caner Cindoruk,M
Papierowy tygrys,2026,Pokazy Galowe,M,M,M,?,?,,?,?,?,,Adam Driver,M
"Powiedz mi, co czujesz",2026,Pokazy Galowe,M,?,?,K,?,?,?,?,K,?,Jan Sałasiński,
Róża,2026,Pokazy Galowe,M,M,M,M,?,,?,?,?,?,Sandra Hüller,K
Tchórz,2026,Pokazy Galowe,M,M,M,M,M,,?,?,M,,Valentin Campagne,
Żółte listy,2026,Pokazy Galowe,M,KM,K,K,M,,M,?,?,?,Özgü Namal,K
Cała reszta to szum,2026,"Mistrzynie, Mistrzowie",M,?,M,M,?,?,?,,,,Teresita Sánchez,
