tytul_pl,rok,kraj,sekcja,url,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,produkcja,obsada,blad
9 świątyń w drodze do nieba,2026,"Singapur, Francja, Norwegia, Chiny, Hongkong, Indonezja, Katar, Tajlandia",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/9-swiatyn-w-drodze-do-nieba,Sompot Chidgasornpongse,Sompot Chidgasornpongse,Jonathan Ricquebourg,"Tham Kattiyakul, Jirapat Mekkrajai, Daniel Hui, Sompot Chidgasornpongse",,"Akritchalerm Kalayanamitr, Chalermrat Kaweewattana, Lim Ting Li","Kissada Kamyoung, Apichatpong Weerasethakul","E&W Films, Kick the Machine, Petit Chaos","Amara Ramnarong, Surachai Ningsanond, Jirawut Chiwaruck, Yaneenan Jiraphatjittrin, Klaichan Phunman, Sompop Songkampol, Poon Sirapob, Yada Karnjanisakorn, Nichmon Shintadapong",
Barrio triste,2025,"Kolumbia, USA",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/barrio-triste,Stillz,Stillz,Stillz,Adam Robinson,Arca,Leslie Shatz kostiumy Ana María Acosta scenografia Daniel Rincón Zapata,"James Clauer, Eric Kohn, Esteban Zuluaga","EDGLRD, WeOwntheCity","Juan Pablo Baena, Samuel Velázquez, Tomás Tinoco Higuita, Samuel Andrés Celis, Brahian Acevedo, Estiven Salazar,Brayan Erlín García, José Arley Marín González, Samuel Ruiz",
Dryfy,2025,"Szwajcaria, Argentyna",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/dryfy,Milagros Mumenthaler,Milagros Mumenthaler,Gabriel Sandru,Gion-Reto Killias,,"Carlos Ibañez Diaz, Federico Esquerro, Denis Séchaud kostiumy Simona Martínez scenografia Ailí Chen charakteryzacja Marina Aebi","Violeta Bava, David Epiney, Rosa Martínez Rivero, Eugenia Mumenthaler","Alina Film, Ruda Cine","Isabel Aimé González-Sola, Mauricio Bertorello, Sara Bessio, Esteban Bigliardi, Jazmín Carballo, Emma Fayo Duarte",
Everytime,2026,"Niemcy, Austria",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/everytime,Sandra Wollner,Sandra Wollner,Gregory Oke,Hannes Bruun,"Timm Kröger, Peter Kutin, David Schweighart kostiumy Hanna Rode scenografia Gerald Freimuth, Julia Libiseller",,"David Bohun, Camille Chanel, Lixi Frank, Viktoria Stolpe","Charades, Panama Film, The Barricades","Birgit Minichmayr, Lotte Shirin Keiling, Tristan López, Carla Hüttermann, Naomi Elia Richard",
Gradiva,2026,Francja,Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/gradiva,Marine Atlan,"Marine Atlan, Anne Brouillet","Marine Atlan, Pierre Mazoyer",Guillaume Lillo scenografia Anna Le Mouël charakteryzacja Marjolaine Vialle,,,Inès Daïen Dasi,"Les Films du Poisson, Arte France Cinéma, Bibi Films, MK2","Colas Quignard, Suzanne Gerin, Mitia Capellier, Antonia Buresi, Hadya Fofana, Mathéo De Carlo",
Miejsca obiecane,2026,"Serbia, Kambodża, Francja, Niemcy",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/miejsca-obiecane,Ivan Marković,"Tanja Šljivar, Ivan Marković","Ivan Marković, Katharina Hauke",Ivan Marković,,,"Jasmina Sijerčić, Zsofi Lili Kovacs, Jelena Radenković, Daniel Mattes","Bocalupo Films, Fiskultura Films, Big Time Production, Anti-Archive","Vollak Kong, Chea Loch, Theara Or",
Pewnego razu w Harlemie,2026,USA,Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/pewnego-razu-w-harlemie,"William Greaves, David Greaves","William Greaves, David Greaves","David Greaves, Doug Harris, David Hoffman, Jerry Pantzer","Lynn True, Anne de Mare",Tamar-kali,"Clive Davidson, Roland Mitchell","Liani Greaves, Anne de Mare",William Greaves Productions,Arna Bontemps,
Pokaz laureata Grand Prix Międzynarodowego Konkursu Nowe Horyzonty,,,Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/pokaz-grand-prix,,,,,,,,,,brak bloku creditsow
Pokaz laureata Nagrody Publiczności w Międzynarodowym Konkursie Nowe Horyzonty,,,Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/pokaz-nagrody-publicznosci,,,,,,,,,,brak bloku creditsow
Spadający liść,2025,"Niemcy, Gruzja",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/spadajacy-lisc,Aleksandre Koberidze,Aleksandre Koberidze,Aleksandre Koberidze,Aleksandre Koberidze,Giorgi Koberidze,Giorgi Koberidze,"Luise Hauschild, Aleksandre Koberidze, Mariam Shatberashvili",New Matter Films,"Giorgi Bochorishvili, Irina Chelidze, Irina Chelidze, Vakhtang Fanchulidze, David Koberidze, Otar Nijaradze",
The Meltdown,2026,"Chile, USA, Hiszpania, Meksyk",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/the-meltdown,Manuela Martelli,Manuela Martelli,Benjamín Echazarreta,Yibrán Asuad,Mariá Portugal,Javier Umpierrez kostiumy Carolina Espina scenografia Nohemí González,"Alejandra Garcia, Alex C. Lo, Andrés Wood","Ronda Cine, Cinema Inutile, Wood Producciones polski dystrybutor So Films","Maya O'Rourke, Saskia Rosendahl, Maia Domagala, Jakub Gierszał, Paulina Urrutia, Mauricio Pešutić",
"Włosy, papier, woda...",2025,"Francja, Belgia, Wietnam",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/wlosy-papier-woda,"Nicolas Graux, Minh Quý Truong","Nicolas Graux, Minh Quý Truong",Nicolas Graux,Minh Quý Truong,Michael Stearns,,"Petit Chaos, Julie Freres, Julien Graff, Thomas Hakim","Dérives, Petit Chaos, Lagi Films","Thi Hau Cao, Xuan Doanh Cao, Thi Hieu Cao, Thi Bat Cao",
Zawiany las,2026,"Belgia, Francja",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/zawiany-las,Manon Coubia,Manon Coubia,Robin Fresson,Theophile Gay-Mazas,,"Aline Huber, Vincent Nouaille, Samuel Mittelman","Tom Durand-Bonnard, Jérémy van der Haegen, Nicolas Rincon Gille, Manon Coubia, Charlotte Vincent, Katia Khazak","The Blue Raincoat, Aurora Films","Salomé Richard, Aurélia Petit, Anne Coesens, Arthur Marbaix, Yoann Zimmer",
Źródło życia,2026,"Słowacja, Czechy, Węgry",Międzynarodowy Konkurs Nowe Horyzonty,https://www.nowehoryzonty.pl/program/26/zrodlo-zycia,Ivan Ostrochovský,"Marek Lescák, Ivan Ostrochovský",Juraj Chlpík,"Josef Krajbich, Martin Malo",Michal Novinski​,"Dušan Kozák, Martin Jílek","Ivan Ostrochovský, Albert Malinovský, Katarína Tomková, Pavel Strnad, Petr Oukropec","Punkchart Films, Negativ, Ceská Televize, Proton Cinema, Slovak Television and Radio","Anna Geislerová, Simona Boledovičová, Eva Mores, Vlad Ivanov, Éva Bandor, Attila Mokos",
