osoba,rola,zgadywanie,ile_filmow
Łukasz Ronduda,scenariusz,brak,6
Frederick Wiseman,scenariusz,brak,3
Frederick Wiseman,montaż,brak,3
János Kende,zdjęcia,brak,3
Nyika Jancsó,zdjęcia,chyba K (imię na -a),3
Zoltán Farkas,montaż,brak,3
Zsolt Döme kostiumy Fanny Kemenes scenografia Éva Martin,muzyka,brak,3
Łukasz Gutt,zdjęcia,brak,3
Azusa Yamazaki,montaż,chyba K (imię na -a),2
Cecilie Semec,zdjęcia,brak,2
Dörte Völz,montaż,brak,2
Gareth C. Scales,montaż,brak,2
Gyula Hernádi,scenariusz,chyba K (imię na -a),2
Hlynur Pálmason,scenariusz,brak,2
Hlynur Pálmason,zdjęcia,brak,2
Ivan Marković,zdjęcia,brak,2
Josée Deshaies,zdjęcia,brak,2
Jussi Rautaniemi,montaż,brak,2
Lajos Koltai,zdjęcia,brak,2
Marius Panduru,zdjęcia,brak,2
Nikodem Chabior,montaż,brak,2
Vytautas Katkus,zdjęcia,brak,2
Abdallah Al-Khatib,scenariusz,brak,1
Abed Kobeissy,muzyka,brak,1
Adolf Schlyssleder,montaż,brak,1
Adolpho Veloso,zdjęcia,brak,1
Affonso Gonçalves,montaż,brak,1
Affonso Gonçalves kostiumy Megan Gray,montaż,brak,1
Ahmad Yuniardi,montaż,brak,1
Ahmet Sesigürgil,zdjęcia,brak,1
Akimoto Minori,zdjęcia,brak,1
Al Cook scenografia Lotte Lyon,muzyka,brak,1
Aleksandre Koberidze,scenariusz,brak,1
Aleksandre Koberidze,zdjęcia,brak,1
Aleksandre Koberidze,montaż,brak,1
Alexander Brom,scenariusz,brak,1
Alfonso Olguín,muzyka,brak,1
Alfréd Benčič,montaż,brak,1
Ali Cherri,scenariusz,brak,1
Alicia Angelina,scenariusz,chyba K (imię na -a),1
Amath Niane,zdjęcia,brak,1
Amina Hocine kostiumy Fianna Robijn scenografia Søren Schwartzberg charakteryzacja Clara Bourgeot,muzyka,chyba K (imię na -a),1
Amine Taher,montaż,brak,1
Amir Ahmadi Arian,scenariusz,brak,1
Analía Goethals,scenariusz,chyba K (imię na -a),1
Analía Goethals,montaż,chyba K (imię na -a),1
András Horváth,zdjęcia,brak,1
Andrée Choty,montaż,brak,1
Anette Fleming,montaż,brak,1
Anisha Acharya,montaż,chyba K (imię na -a),1
Anne-Marie Walther,muzyka,brak,1
Annette Beaufaÿs,muzyka,brak,1
Annette Wademant,scenariusz,brak,1
Arash Ashtiani,montaż,brak,1
