osoba,qid,opis,plec,filmowiec,pewnosc
(Konkurs Envision) Dostępność online 23 lip,,,,nie,brak
10:15 knh 3 Spotkanie z twórcami pn 27 lip,,,,nie,brak
12:00 – 9 sie Cena dostępu: 22 zł Seanse,,,,nie,brak
13:00 dcf la Spotkanie z twórcami audiodeskrypcja pt 31 lip,,,,nie,brak
13:15 dcf p nd 26 lip,,,,nie,brak
19:00 dcf la Spotkanie z twórcami audiodeskrypcja sb 25 lip,,,,nie,brak
19:15 knh 3 Spotkanie z twórcami Cena biletu: 29 zł Rabaty dla posiadaczy karty Przyjaciół Kina NH,,,,nie,brak
21:30 dcf la audiodeskrypcja i napisy SDH Cena biletu: 29 zł Rabaty dla posiadaczy karty Przyjaciół Kina NH,,,,nie,brak
Abdallah Al-Khatib,Q111830279,Palestinian-Syrian filmmaker (born 1989),M,tak,wysoka
Abed Kobeissy,,,,nie,brak
Adam Mars-Jones,Q4679447,British writer,M,nie,niska (zawód nie filmowy)
Adam Porębowicz,,,,nie,brak
Adam Robinson,Q126851696,blad: JSONDecodeError,M,nie,niska (zawód nie filmowy)
Adam Suzin,,blad: JSONDecodeError,,nie,brak
Adam Zoller,,blad: JSONDecodeError,,nie,brak
Adolf Schlyssleder,,blad: JSONDecodeError,,nie,brak
Adolpho Veloso,,blad: JSONDecodeError,,nie,brak
Adrian Chiarella,,blad: JSONDecodeError,,nie,brak
Affonso Gonçalves,,blad: JSONDecodeError,,nie,brak
Affonso Gonçalves kostiumy Megan Gray,,blad: JSONDecodeError,,nie,brak
Agata Cierniak,,blad: JSONDecodeError,,nie,brak
Agata K. Koschmieder,,blad: JSONDecodeError,,nie,brak
Agnieszka Holland,,blad: JSONDecodeError,,nie,brak
Agnieszka Smoczyńska,,blad: JSONDecodeError,,nie,brak
Agnès Varda,,blad: JSONDecodeError,,nie,brak
Ahmad Yuniardi,,blad: JSONDecodeError,,nie,brak
Ahmet Sesigürgil,,blad: JSONDecodeError,,nie,brak
Aistė Žegulytė,,blad: JSONDecodeError,,nie,brak
Akimoto Minori,,blad: JSONDecodeError,,nie,brak
Al Cook scenografia Lotte Lyon,,blad: JSONDecodeError,,nie,brak
